order_id,customer_id,order_date,status,shipping_city,shipping_state,discount,tax,total_amount
ORD000030,CUST00466,2024-07-24,Completed,Indianapolis,IN,0,54.33,733.4
ORD000031,CUST00130,2024-11-17,Pending,Portland,OR,29.91,120.12,1591.73
ORD000032,CUST00092,2024-02-09,Completed,Miami,FL,6.61,142.93,1922.93
ORD000033,CUST00272,2024-05-19,Completed,Indianapolis,IN,43.89,22.5,259.81
ORD000034,CUST00499,2023-04-30,Completed,Tampa,FL,0,156.6,2114.06
ORD000035,CUST00161,2024-03-16,Cancelled,Seattle,WA,0,140.51,-23.84
ORD000036,CUST00473,2023-11-20,Returned,Tampa,FL,24.56,152.09,2028.63
ORD000037,CUST00084,2023-06-02,Completed,Orlando,FL,0,30.61,413.23
ORD000038,CUST00249,2024-05-21,Completed,Raleigh,NC,0,58.07,783.98
ORD000039,CUST00146,2025-05-16,Completed,Raleigh,NC,7.4,56.98,761.8
ORD000040,CUST00300,2025-02-06,Returned,Jacksonville,FL,0,44.81,604.94
ORD000041,CUST00040,2023-01-05,Completed,Columbus,OH,0,92.01,1242.17
ORD000042,CUST00063,2024-11-24,Cancelled,San Francisco,CA,0,53.66,724.4
ORD000043,CUST00338,2023-04-19,Completed,Atlanta,GA,7.69,14.44,187.26
ORD000044,CUST00336,2023-10-03,Completed,Salt Lake City,UT,0,2.52,34.01
ORD000045,CUST00442,2025-01-19,Completed,Orlando,FL,45.34,127.85,1680.64
ORD000046,CUST00196,2023-10-17,Cancelled,Houston,TX,0,10.4,140.36
ORD000047,CUST00011,2023-07-02,Completed,Philadelphia,PA,0,123.71,1670.05
ORD000048,CUST00079,2025-03-09,Completed,Columbus,OH,0,104.11,1405.5
ORD000049,CUST00351,2025-03-31,Completed,San Diego,CA,0,129.33,1745.91
ORD000050,CUST00244,2023-04-09,Completed,Dallas,TX,25.63,79.16,1042.98
ORD000051,CUST00096,2024-03-09,Completed,Seattle,WA,0,68.53,925.15
ORD000052,CUST00115,2023-04-06,Completed,Tampa,FL,0,55.73,752.38
ORD000053,CUST00465,2024-06-23,Pending,San Jose,CA,26.23,47.65,617.01
ORD000054,CUST00292,2023-05-11,Completed,Salt Lake City,UT,15.02,40.99,538.3
ORD000055,CUST00238,2023-02-16,Completed,Houston,TX,0,82.49,1113.58
ORD000056,CUST00339,2024-08-22,Completed,Indianapolis,IN,0,81.35,1098.17
ORD000057,CUST00161,2023-07-06,Completed,Raleigh,NC,2.26,67.53,909.45
ORD000058,CUST00383,2024-04-05,Cancelled,Raleigh,NC,13.25,154.73,-81.28
ORD000059,CUST00007,2023-04-19,Returned,Indianapolis,IN,0,4.44,59.91
ORD000060,CUST00250,2024-04-16,Completed,Austin,TX,43.44,154.58,2043.43
ORD000061,CUST00203,2024-09-23,Completed,Boston,MA,0,108.33,1462.46
ORD000062,CUST99999,2023-05-19,Completed,Boston,MA,0,19.33,260.92
ORD000063,CUST00432,2023-08-03,Returned,Fort Worth,TX,0,24.59,332.0
ORD000064,CUST00086,2025-02-27,Completed,Fort Worth,TX,0,76.68,1035.18
ORD000065,CUST00427,2024-03-31,Cancelled,San Jose,CA,23.57,137.79,-79.87
ORD000066,CUST00213,2023-01-09,Completed,Atlanta,GA,0,135.86,1834.17
ORD000067,CUST00372,2024-09-02,Cancelled,Kansas City,MO,49.95,7.46,50.8
ORD000068,CUST00033,2023-03-04,Completed,Kansas City,MO,0,68.45,924.02
ORD000069,CUST00230,2024-03-03,Returned,Seattle,WA,5.85,100.24,1347.33
ORD000070,CUST00301,2023-10-22,Completed,Tampa,FL,23.46,71.0,935.0
ORD000071,CUST00365,2025-05-23,Pending,Detroit,MI,32.85,22.38,269.22
ORD000072,CUST00498,2025-05-03,Pending,Miami,FL,32.63,58.66,759.34
ORD000073,CUST00081,2023-10-17,Completed,Austin,TX,4.31,78.09,1049.9
ORD000074,CUST00010,2024-03-01,Completed,Kansas City,MO,24.69,38.78,498.83
ORD000075,CUST00414,2024-01-01,Returned,Portland,OR,8.74,137.74,1850.73
ORD000076,CUST00175,2023-04-27,Completed,Phoenix,AZ,6.03,37.1,494.78
ORD000077,CUST00362,2025-02-27,Cancelled,Portland,OR,13.37,25.55,-48.46
ORD000078,CUST00401,2024-03-24,Pending,Houston,TX,48.13,121.31,1589.59
ORD000079,CUST00106,2023-02-12,Returned,San Antonio,TX,0,28.06,378.81
ORD000080,CUST00079,2023-10-27,Completed,Las Vegas,NV,38.1,80.54,1049.25
ORD000081,CUST00394,2023-05-22,Completed,Las Vegas,NV,0,33.58,453.32
ORD000082,CUST00137,2025-04-08,Completed,New York,NY,0,47.02,634.8
ORD000083,CUST00386,2024-02-29,Completed,Las Vegas,NV,0,106.94,1443.63
ORD000084,CUST00407,2023-05-22,Cancelled,Minneapolis,MN,20.67,66.43,876.19
ORD000085,CUST00484,2024-03-29,Pending,Las Vegas,NV,0,3.18,42.88
ORD000086,CUST00202,2023-11-19,Completed,Phoenix,AZ,0,123.94,1673.24
ORD000087,CUST00366,2024-10-18,Completed,Chicago,IL,0,92.61,1250.23
ORD000088,CUST00466,2025-06-26,Completed,Denver,CO,27.68,49.8,644.68
ORD000089,CUST00330,2023-10-14,Completed,Portland,OR,30.52,24.86,305.13
ORD000090,CUST00401,2024-10-01,Returned,Columbus,OH,32.6,112.08,1480.47
ORD000091,CUST00379,2025-06-21,Cancelled,Atlanta,GA,0,7.46,100.66
ORD000092,CUST00267,2024-07-07,Completed,Dallas,TX,0,16.3,220.08
ORD000093,CUST00156,2023-06-13,Cancelled,Detroit,MI,0,142.63,-74.13
ORD000094,CUST00064,2023-04-24,Pending,Tampa,FL,42.08,42.75,534.99
ORD000095,CUST00121,2023-05-08,Cancelled,Houston,TX,0,92.27,1245.69
ORD000096,CUST00194,2023-10-19,Completed,Charlotte,NC,40.75,92.33,1205.66
ORD000097,CUST00051,2024-06-12,Completed,San Francisco,CA,0,131.94,1781.17
ORD000098,CUST00067,2025-04-28,Completed,San Jose,CA,0,16.21,218.86
ORD000099,CUST00266,2023-03-21,Completed,Salt Lake City,UT,0,84.96,1146.95
ORD000100,CUST00477,2024-08-21,Returned,Atlanta,GA,0,68.67,927.05
ORD000101,CUST00442,2024-03-02,Cancelled,Kansas City,MO,7.22,21.74,-87.06
ORD000102,CUST00190,2024-04-11,Completed,San Diego,CA,0,119.84,1617.9
ORD000103,CUST00268,2024-02-23,Completed,San Diego,CA,0,60.14,811.92
ORD000104,CUST00073,2023-11-09,Completed,San Jose,CA,15.16,78.57,1045.54
ORD000105,CUST00063,2023-11-09,Completed,Minneapolis,MN,10.78,131.35,1762.44
ORD000106,CUST00461,2023-02-15,Completed,Portland,OR,0,92.37,1247.03
ORD000107,CUST00390,2024-05-01,Cancelled,Detroit,MI,41.68,22.64,263.92
ORD000108,CUST00210,2023-06-02,Completed,Orlando,FL,16.26,128.29,1715.66
ORD000109,CUST00227,2024-02-09,Completed,Miami,FL,0,8.86,119.58
ORD000110,CUST00396,2025-06-05,Completed,Seattle,WA,0,5.53,74.64
ORD000111,CUST00388,2023-05-07,Completed,Boston,MA,4.26,152.9,2059.87
ORD000112,CUST00062,2024-06-18,Pending,Houston,TX,0,76.97,1039.12
ORD000113,CUST00228,2023-10-09,Pending,Jacksonville,FL,12.26,113.37,1518.23
ORD000114,CUST00175,2024-09-13,Cancelled,Philadelphia,PA,0,94.88,1280.89
ORD000115,CUST00051,2023-01-25,Completed,Tampa,FL,15.87,42.34,555.68
ORD000116,CUST00209,2023-07-07,Completed,Austin,TX,0,15.8,213.26
ORD000117,CUST00051,2023-11-30,Completed,Austin,TX,0,114.59,1546.93
ORD000118,CUST00027,2023-11-28,Completed,Nashville,TN,0,150.75,2035.07
ORD000119,CUST00198,2024-09-03,Completed,Fort Worth,TX,0,79.69,1075.79
ORD000120,CUST00209,2023-11-22,Completed,San Diego,CA,0,66.08,892.09
ORD000121,CUST00127,2023-01-20,Pending,Charlotte,NC,0,154.21,2081.89
ORD000122,CUST00401,2024-02-21,Completed,Dallas,TX,0,135.65,1831.28
ORD000123,CUST00232,2023-06-22,Completed,San Jose,CA,26.88,68.72,900.87
ORD000124,CUST00031,2024-04-20,Completed,Chicago,IL,31.04,105.04,1387.06
ORD000125,CUST00300,2023-09-14,Completed,Salt Lake City,UT,19.01,57.26,754.06
ORD000126,CUST00358,2025-01-26,Completed,Denver,CO,0,12.68,171.15
ORD000127,CUST00313,2025-01-12,Returned,San Diego,CA,0,45.87,619.2
ORD000128,CUST00340,2023-12-17,Returned,Nashville,TN,48.98,113.71,1486.08
ORD000129,CUST00473,2024-04-15,Completed,Nashville,TN,16.42,146.38,1959.72
ORD000130,CUST00361,2023-01-05,Completed,New York,NY,33.64,67.04,871.46
ORD000131,CUST00418,2024-07-05,Cancelled,Kansas City,MO,0,140.47,-46.14
ORD000132,CUST00430,2023-12-28,Completed,Orlando,FL,18.82,96.85,1288.63
ORD000133,CUST99999,2024-01-15,Completed,New York,NY,22.23,36.69,473.07
ORD000134,CUST00156,2024-12-27,Completed,Seattle,WA,0,15.85,213.98
ORD000135,CUST00311,2024-05-20,Completed,Charlotte,NC,1.84,79.67,1073.65
ORD000136,CUST00088,2025-04-20,Completed,Columbus,OH,5.55,45.53,609.13
ORD000137,CUST00382,2024-08-02,Completed,Fort Worth,TX,30.15,29.4,366.8
ORD000138,CUST00435,2024-08-06,Completed,Phoenix,AZ,44.05,117.06,1536.23
ORD000139,CUST00002,2024-12-10,Pending,Los Angeles,CA,30.72,109.42,1446.45
ORD000140,CUST00209,2024-10-27,Completed,Tampa,FL,0,150.3,2029.04
ORD000141,CUST00453,2024-06-14,Completed,Seattle,WA,0,58.86,794.57
ORD000142,CUST00172,2024-03-06,Completed,Charlotte,NC,0,51.69,697.85
ORD000143,CUST00217,2025-04-07,Returned,Philadelphia,PA,0,118.41,1598.55
ORD000144,CUST00050,2023-07-21,Pending,Phoenix,AZ,0,50.83,686.23
ORD000145,CUST00431,2025-04-07,Completed,Los Angeles,CA,0,127.88,1726.38
ORD000146,CUST00171,2024-04-29,Completed,Indianapolis,IN,0,55.58,750.37
ORD000147,CUST00229,2025-03-05,Pending,San Francisco,CA,0,71.06,959.35
ORD000148,CUST00401,2023-03-04,Completed,San Diego,CA,18.87,142.59,1906.09
ORD000149,CUST00034,2025-04-01,Completed,Dallas,TX,0,49.35,666.26
ORD000150,CUST00317,2024-07-26,Completed,San Antonio,TX,0,136.23,1839.09
ORD000151,CUST00220,2024-09-05,Completed,Minneapolis,MN,31.2,73.42,959.97
ORD000152,CUST00053,2024-11-22,Completed,San Antonio,TX,22.7,53.59,700.71
ORD000153,CUST00065,2023-03-11,Completed,New York,NY,0,134.78,1819.52
ORD000154,CUST00031,2024-05-07,Completed,Indianapolis,IN,22.23,40.12,519.33
ORD000155,CUST00299,2024-03-22,Completed,Dallas,TX,0,104.83,1415.21
ORD000156,CUST00337,2023-11-13,Completed,San Jose,CA,14.55,155.29,2081.88
ORD000157,CUST00500,2024-06-03,Completed,San Jose,CA,27.97,10.25,110.4
ORD000158,CUST00240,2023-07-26,Completed,Fort Worth,TX,17.08,107.39,1432.67
ORD000159,CUST00233,2024-08-02,Returned,Detroit,MI,30.81,67.92,886.13
ORD000160,CUST00247,2023-01-04,Completed,Chicago,IL,34.66,75.5,984.58
ORD000161,CUST00016,2024-01-20,Cancelled,Detroit,MI,0,30.78,-63.72
ORD000162,CUST00023,2024-03-26,Completed,San Diego,CA,0,94.37,1274.03
ORD000163,CUST00174,2023-10-18,Completed,Los Angeles,CA,0,141.84,1914.9
ORD000164,CUST00426,2023-01-23,Completed,San Francisco,CA,0,43.07,581.41
ORD000165,CUST00190,2025-03-17,Completed,Dallas,TX,16.92,34.9,454.25
ORD000166,CUST00034,2024-06-23,Completed,Las Vegas,NV,49.88,141.26,1857.07
ORD000167,CUST00307,2023-05-14,Completed,San Diego,CA,9.58,61.51,820.76
ORD000168,CUST00151,2023-09-08,Pending,Tampa,FL,38.15,94.63,1239.39
ORD000169,CUST00300,2023-02-24,Completed,San Jose,CA,14.0,21.63,278.02
ORD000170,CUST00199,2023-03-25,Completed,Kansas City,MO,39.55,99.0,1296.93
ORD000171,CUST00248,2024-04-20,Completed,Las Vegas,NV,0,114.46,1545.18
ORD000172,CUST00019,2024-08-18,Completed,Kansas City,MO,0,147.52,1991.47
ORD000173,CUST00218,2023-07-27,Completed,Columbus,OH,0,38.73,522.81
ORD000174,CUST00044,2025-05-12,Completed,Miami,FL,0,88.81,1198.9
ORD000175,CUST00173,2023-12-27,Completed,Denver,CO,0,8.12,109.58
ORD000176,CUST00196,2024-03-18,Completed,Tampa,FL,0,129.03,1741.95
ORD000177,CUST00151,2023-08-28,Completed,Los Angeles,CA,0,13.62,183.88
ORD000178,CUST00101,2023-08-22,Cancelled,Philadelphia,PA,0,12.9,174.17
ORD000179,CUST00071,2025-02-02,Completed,Detroit,MI,34.18,45.08,574.34
ORD000180,CUST00485,2023-11-03,Completed,Indianapolis,IN,0,56.51,762.84
ORD000181,CUST00077,2025-02-14,Returned,Atlanta,GA,23.6,82.8,1094.24
ORD000182,CUST00388,2025-01-10,Completed,Atlanta,GA,23.72,83.31,1100.92
ORD000183,CUST00214,2024-04-17,Cancelled,Raleigh,NC,0,15.2,-57.12
ORD000184,CUST00066,2025-05-23,Completed,Columbus,OH,0,60.95,822.86
ORD000185,CUST00116,2023-01-10,Pending,Boston,MA,0,105.96,1430.48
ORD000186,CUST00167,2025-02-09,Completed,Minneapolis,MN,0,124.94,1686.65
ORD000187,CUST00323,2023-02-02,Completed,Los Angeles,CA,7.68,152.5,2051.04
ORD000188,CUST00169,2023-07-29,Pending,Atlanta,GA,3.19,62.81,844.76
ORD000189,CUST00017,2023-11-08,Completed,Orlando,FL,0,18.12,244.66
ORD000190,CUST00120,2023-07-23,Completed,Kansas City,MO,0,154.14,2080.87
ORD000191,CUST99999,2023-03-13,Completed,Denver,CO,0,59.99,809.92
ORD000192,CUST00215,2024-02-25,Returned,Nashville,TN,0,158.35,2137.75
ORD000193,CUST00364,2024-02-03,Cancelled,Salt Lake City,UT,43.28,22.18,256.17
ORD000194,CUST00142,2024-08-11,Completed,Salt Lake City,UT,29.37,81.19,1066.72
ORD000195,CUST00127,2023-05-27,Completed,Fort Worth,TX,0,132.21,1784.88
ORD000196,CUST00047,2025-06-19,Pending,Detroit,MI,0,74.89,1011.03
ORD000197,CUST00201,2024-04-12,Completed,Denver,CO,0,135.07,1823.5
ORD000198,CUST00094,2023-07-03,Completed,Jacksonville,FL,36.66,74.12,963.96
ORD000199,CUST00322,2023-02-14,Completed,San Antonio,TX,0,139.49,1883.16
ORD000200,CUST00391,2023-03-10,Completed,Denver,CO,36.12,36.01,450.05
ORD000201,CUST00085,2023-03-20,Pending,San Diego,CA,25.22,125.07,1663.28
ORD000202,CUST00384,2023-02-15,Completed,Indianapolis,IN,0,13.19,178.12
ORD000203,CUST00129,2025-02-02,Completed,Raleigh,NC,0,32.39,437.31
ORD000204,CUST00035,2023-05-20,Completed,San Diego,CA,0,120.19,1622.57
ORD000205,CUST00083,2023-09-06,Completed,Philadelphia,PA,21.89,76.17,1006.44
ORD000206,CUST00201,2024-09-13,Returned,Austin,TX,0,48.19,650.6
ORD000207,CUST00092,2025-02-20,Completed,Austin,TX,0,44.88,605.92
ORD000208,CUST00326,2024-11-22,Completed,Columbus,OH,0,71.62,966.9
ORD000209,CUST00194,2023-11-12,Completed,San Antonio,TX,0,96.36,1300.81
ORD000210,CUST00008,2024-01-19,Pending,Fort Worth,TX,10.0,4.14,45.9
ORD000211,CUST00426,2024-11-27,Returned,Detroit,MI,11.03,141.35,1897.25
ORD000212,CUST00098,2023-02-15,Cancelled,Austin,TX,0,18.66,251.87
ORD000213,CUST00089,2024-02-09,Pending,Columbus,OH,6.04,35.46,472.7
ORD000214,CUST00337,2023-11-20,Completed,New York,NY,0,35.3,476.58
ORD000215,CUST00393,2024-01-13,Completed,Seattle,WA,0,141.86,1915.07
ORD000216,CUST00129,2023-04-15,Pending,Kansas City,MO,39.56,147.68,1954.12
ORD000217,CUST00171,2024-10-08,Completed,San Antonio,TX,33.9,155.62,2067.01
ORD000218,CUST00010,2025-06-24,Completed,Jacksonville,FL,48.9,107.15,1397.66
ORD000219,CUST99999,2024-10-17,Completed,Orlando,FL,25.17,113.21,1503.21
ORD000220,CUST00318,2023-05-08,Completed,Los Angeles,CA,0,118.49,1599.56
ORD000221,CUST00329,2024-01-19,Completed,Philadelphia,PA,0,33.6,453.58
ORD000222,CUST00169,2025-01-12,Completed,Chicago,IL,0,151.43,2044.27
ORD000223,CUST00417,2024-10-21,Completed,Dallas,TX,1.98,127.02,1712.76
ORD000224,CUST00128,2023-08-23,Cancelled,Denver,CO,16.56,39.97,-9.34
ORD000225,CUST00034,2024-01-26,Completed,Charlotte,NC,0,30.67,414.09
ORD000226,CUST00065,2023-07-17,Completed,Kansas City,MO,0,158.73,2142.91
ORD000227,CUST00372,2024-07-16,Completed,Philadelphia,PA,46.59,39.03,480.33
ORD000228,CUST00156,2025-01-08,Completed,Raleigh,NC,0,68.76,928.31
ORD000229,CUST00487,2024-10-12,Completed,Denver,CO,0,138.21,1865.81
ORD000230,CUST00222,2023-06-21,Completed,Las Vegas,NV,0,68.56,925.5
ORD000231,CUST00465,2025-03-23,Cancelled,San Jose,CA,0,122.29,1650.91
ORD000232,CUST00157,2023-06-06,Completed,Boston,MA,0,29.43,397.31
ORD000233,CUST00080,2024-07-29,Completed,Raleigh,NC,3.6,23.25,310.23
ORD000234,CUST00474,2025-06-01,Completed,Fort Worth,TX,0,116.49,1572.67
ORD000235,CUST00302,2025-01-30,Pending,Minneapolis,MN,0,79.14,1068.45
ORD000236,CUST00391,2023-02-09,Completed,Phoenix,AZ,6.22,149.25,2008.65
ORD000237,CUST00353,2025-02-28,Pending,Tampa,FL,36.11,82.32,1075.23
ORD000238,CUST00245,2024-10-28,Completed,Las Vegas,NV,0,68.77,928.37
ORD000239,CUST00134,2024-01-06,Pending,Chicago,IL,33.82,112.08,1479.25
ORD000240,CUST00431,2023-05-31,Pending,Raleigh,NC,0,96.98,1309.24
ORD000241,CUST00362,2025-02-28,Completed,Austin,TX,0,114.32,1543.31
ORD000242,CUST00257,2023-07-13,Completed,Philadelphia,PA,8.29,69.22,926.14
ORD000243,CUST00046,2025-01-21,Completed,Miami,FL,0,140.42,1895.69
ORD000244,CUST00384,2025-03-06,Completed,San Antonio,TX,40.71,44.21,556.16
ORD000245,CUST00357,2023-01-07,Completed,Atlanta,GA,40.82,1.85,-15.84
ORD000246,CUST00096,2024-11-01,Completed,Minneapolis,MN,0,69.86,943.14
ORD000247,CUST00109,2023-07-06,Completed,Dallas,TX,0,19.06,257.33
ORD000248,CUST00462,2025-02-06,Completed,Jacksonville,FL,0,121.85,1645.0
ORD000249,CUST00044,2024-10-01,Completed,Minneapolis,MN,0,102.41,1382.55
ORD000250,CUST00345,2023-03-07,Completed,Miami,FL,0,94.37,1273.95
ORD000251,CUST00050,2023-09-30,Completed,San Antonio,TX,0.36,93.86,1266.74
ORD000252,CUST00137,2023-01-08,Completed,Columbus,OH,0,83.98,1133.73
ORD000253,CUST00162,2023-12-12,Completed,Kansas City,MO,16.83,109.61,1462.86
ORD000254,CUST00448,2024-11-12,Pending,San Francisco,CA,0,98.35,1327.75
ORD000255,CUST00309,2023-01-04,Cancelled,Detroit,MI,0,112.21,-11.2
ORD000256,CUST00352,2023-10-14,Returned,San Diego,CA,37.57,40.97,515.5
ORD000257,CUST00417,2024-11-07,Completed,Salt Lake City,UT,0,157.81,2130.45
ORD000258,CUST00120,2024-01-04,Completed,Nashville,TN,48.48,118.15,1546.58
ORD000259,CUST00244,2024-09-19,Completed,Kansas City,MO,17.42,150.35,2012.32
ORD000260,CUST00017,2023-10-28,Cancelled,San Antonio,TX,35.6,139.39,-21.51
ORD000261,CUST00448,2023-03-31,Completed,Dallas,TX,0,108.21,1460.87
ORD000262,CUST00088,2024-04-01,Completed,Raleigh,NC,24.11,87.24,1153.65
ORD000263,CUST00197,2025-01-02,Completed,Philadelphia,PA,0,148.75,2008.18
ORD000264,CUST00473,2023-09-21,Completed,Seattle,WA,47.58,107.82,1408.03
ORD000265,CUST00474,2024-12-09,Completed,Kansas City,MO,0,37.05,500.19
ORD000266,CUST00402,2024-01-22,Completed,Phoenix,AZ,37.15,116.44,1534.85
ORD000267,CUST00304,2023-08-17,Cancelled,Tampa,FL,0,47.69,643.82
ORD000268,CUST00378,2023-04-29,Cancelled,Fort Worth,TX,0,21.78,294.07
ORD000269,CUST00164,2024-08-27,Completed,New York,NY,0,135.78,1833.07
ORD000270,CUST99999,2025-03-26,Cancelled,Las Vegas,NV,0,106.74,-89.34
ORD000271,CUST00308,2025-04-15,Completed,Raleigh,NC,41.86,80.77,1048.58
ORD000272,CUST00258,2024-11-12,Completed,Denver,CO,41.39,7.04,53.65
ORD000273,CUST00361,2025-05-18,Completed,San Diego,CA,23.91,132.86,1769.75
ORD000274,CUST00376,2025-04-09,Completed,Miami,FL,0,132.74,1791.95
ORD000275,CUST00154,2023-02-23,Completed,Charlotte,NC,38.8,137.31,1814.93
ORD000276,CUST00179,2024-07-15,Pending,Austin,TX,0,68.51,924.94
ORD000277,CUST00281,2024-06-24,Completed,Atlanta,GA,14.12,147.81,1981.36
ORD000278,CUST00364,2023-11-28,Completed,Atlanta,GA,29.02,129.12,1714.14
ORD000279,CUST00460,2023-06-17,Completed,Boston,MA,0,71.59,966.52
ORD000280,CUST00295,2025-04-03,Completed,San Jose,CA,36.77,3.05,4.36
ORD000281,CUST00431,2025-05-29,Completed,San Antonio,TX,0,152.14,2053.93
ORD000282,CUST00061,2023-04-09,Pending,Austin,TX,0,76.66,1034.93
ORD000283,CUST00251,2023-06-02,Completed,Detroit,MI,20.2,6.98,74.09
ORD000284,CUST00338,2023-06-26,Completed,Boston,MA,18.77,111.18,1482.16
ORD000285,CUST99999,2025-06-04,Cancelled,Philadelphia,PA,19.11,101.76,1354.67
ORD000286,CUST00294,2024-05-15,Completed,San Diego,CA,45.42,37.23,457.18
ORD000287,CUST00331,2025-02-02,Completed,Salt Lake City,UT,0,95.51,1289.41
ORD000288,CUST00408,2023-05-09,Completed,Tampa,FL,0,11.66,157.39
ORD000289,CUST00416,2024-12-18,Completed,Jacksonville,FL,0,89.68,1210.68
ORD000290,CUST00064,2025-05-07,Completed,Kansas City,MO,0,114.66,1547.88
ORD000291,CUST00285,2023-05-01,Pending,Columbus,OH,0,96.5,1302.72
ORD000292,CUST00386,2023-05-06,Cancelled,Orlando,FL,0,92.69,-91.22
ORD000293,CUST00217,2023-05-08,Completed,Chicago,IL,0,59.19,799.04
ORD000294,CUST00228,2023-02-17,Completed,New York,NY,25.97,125.6,1669.58
ORD000295,CUST00311,2024-12-12,Completed,Dallas,TX,0,145.87,1969.22
ORD000296,CUST00427,2024-11-09,Completed,Columbus,OH,11.86,31.39,411.92
ORD000297,CUST00374,2024-09-08,Pending,Columbus,OH,0,95.34,1287.07
ORD000298,CUST00234,2023-09-19,Completed,Tampa,FL,0,104.52,1411.06
ORD000299,CUST00037,2024-11-23,Pending,Philadelphia,PA,0,111.61,1506.75
ORD000300,CUST00262,2024-12-14,Pending,Seattle,WA,35.72,90.88,1191.17
ORD000301,CUST00494,2023-06-07,Completed,Austin,TX,0,126.38,1706.19
ORD000302,CUST00169,2023-05-08,Completed,San Francisco,CA,0,109.94,1484.22
ORD000303,CUST00051,2023-12-08,Completed,Philadelphia,PA,7.32,128.02,1720.93
ORD000304,CUST00090,2023-08-16,Pending,Miami,FL,0,18.23,246.14
ORD000305,CUST00444,2025-04-06,Completed,Boston,MA,0,85.39,1152.73
ORD000306,CUST00385,2024-09-14,Completed,Denver,CO,0,9.2,124.17
ORD000307,CUST00436,2025-04-05,Completed,Miami,FL,48.4,85.82,1110.15
ORD000308,CUST00337,2023-05-11,Completed,Atlanta,GA,0,110.37,1489.95
ORD000309,CUST00363,2024-08-04,Completed,Dallas,TX,2.64,116.51,1570.2
ORD000310,CUST00258,2024-03-04,Completed,San Francisco,CA,9.16,157.82,2121.43
ORD000311,CUST00118,2024-03-14,Completed,Denver,CO,0,115.4,1557.96
ORD000312,CUST00041,2023-03-31,Completed,Boston,MA,20.33,51.14,670.03
ORD000313,CUST00448,2023-04-06,Cancelled,Phoenix,AZ,0,10.69,-44.58
ORD000314,CUST00351,2024-03-10,Pending,New York,NY,46.62,23.21,266.72
ORD000315,CUST99999,2024-09-23,Completed,San Diego,CA,0,133.29,1799.46
ORD000316,CUST00472,2025-02-06,Completed,Tampa,FL,0,159.08,2147.64
ORD000317,CUST00039,2023-06-22,Completed,Chicago,IL,44.1,84.52,1096.98
ORD000318,CUST00088,2024-06-10,Returned,Las Vegas,NV,0,9.66,130.45
ORD000319,CUST00061,2023-12-13,Pending,Las Vegas,NV,12.49,87.0,1161.97
ORD000320,CUST00202,2023-10-28,Completed,Denver,CO,0,1.95,26.37
ORD000321,CUST00457,2024-10-20,Pending,Columbus,OH,0,143.12,1932.09
ORD000322,CUST99999,2023-01-07,Completed,Kansas City,MO,16.43,57.66,761.94
