order_item_id,order_id,product_id,quantity,unit_price
OI0000087,ORD000036,PROD00185,3,446.51
OI0000088,ORD000036,PROD99999,3,42.25
OI0000089,ORD000036,PROD00123,3,449.69
OI0000090,ORD000036,PROD00104,2,175.68
OI0000091,ORD000036,PROD00067,1,593.36
OI0000092,ORD000037,PROD00060,1,26.85
OI0000093,ORD000038,PROD00162,1,495.63
OI0000094,ORD000038,PROD00038,1,782.34
OI0000095,ORD000038,PROD00030,2,178.19
OI0000096,ORD000039,PROD00017,3,650.13
OI0000097,ORD000039,PROD00004,1,417.95
OI0000098,ORD000039,PROD00033,2,568.38
OI0000099,ORD000040,PROD00136,3,383.65
OI0000100,ORD000041,PROD00041,2,186.37
OI0000101,ORD000041,PROD00195,3,276.8
OI0000102,ORD000042,PROD00178,4,519.35
OI0000103,ORD000042,PROD00022,2,1218.83
OI0000104,ORD000043,PROD00044,2,675.68
OI0000105,ORD000043,PROD00120,2,779.32
OI0000106,ORD000043,PROD00003,2,540.21
OI0000107,ORD000043,PROD00145,1,75.68
OI0000108,ORD000044,PROD00111,4,552.86
OI0000109,ORD000044,PROD00166,2,1051.59
OI0000110,ORD000044,PROD00126,3,558.75
OI0000111,ORD000045,PROD00014,3,606.8
OI0000112,ORD000045,PROD00064,5,31.18
OI0000113,ORD000046,PROD00181,4,679.65
OI0000114,ORD000046,PROD00094,3,109.52
OI0000115,ORD000047,PROD00051,2,463.06
OI0000116,ORD000047,PROD00103,3,822.59
OI0000117,ORD000047,PROD00055,5,16.19
OI0000118,ORD000047,PROD00177,5,607.52
OI0000119,ORD000048,PROD00086,2,40.06
OI0000120,ORD000048,PROD00131,2,92.29
OI0000121,ORD000049,PROD00060,2,26.85
OI0000122,ORD000050,PROD00054,2,409.72
OI0000123,ORD000050,PROD00026,2,177.45
OI0000124,ORD000051,PROD00065,5,253.5
OI0000125,ORD000052,PROD00118,2,372.82
OI0000126,ORD000052,PROD00012,1,1108.03
OI0000127,ORD000053,PROD00034,1,48.06
OI0000128,ORD000053,PROD00023,3,87.21
OI0000129,ORD000054,PROD00014,3,606.8
OI0000130,ORD000054,PROD00179,2,784.78
OI0000131,ORD000055,PROD00176,3,746.46
OI0000132,ORD000056,PROD00152,3,318.78
OI0000133,ORD000056,PROD00023,2,87.21
OI0000134,ORD000057,PROD00125,1,878.21
OI0000135,ORD000057,PROD00064,3,31.18
OI0000136,ORD000058,PROD00191,3,532.79
OI0000137,ORD000058,PROD00066,1,318.62
OI0000138,ORD000058,PROD00121,4,747.1
OI0000139,ORD000058,PROD00081,1,323.72
OI0000140,ORD000059,PROD00060,5,26.85
OI0000141,ORD000059,PROD00034,4,48.06
OI0000142,ORD000059,PROD00111,4,552.86
OI0000143,ORD000059,PROD00020,5,541.07
OI0000144,ORD000060,PROD00184,3,202.51
OI0000145,ORD000060,PROD00200,4,852.45
OI0000146,ORD000060,PROD00081,2,323.72
OI0000147,ORD000061,PROD00169,3,769.54
OI0000148,ORD000062,PROD00115,1,132.06
OI0000149,ORD000062,PROD00176,4,746.46
OI0000150,ORD000062,PROD00130,5,404.49
OI0000151,ORD000063,PROD00073,4,472.71
OI0000152,ORD000064,PROD00188,2,689.67
OI0000153,ORD000064,PROD00132,5,399.42
OI0000154,ORD000064,PROD00153,3,835.05
OI0000155,ORD000065,PROD00169,2,769.54
OI0000156,ORD000065,PROD00030,5,178.19
OI0000157,ORD000065,PROD00138,1,868.7
OI0000158,ORD000066,PROD00108,1,81.59
OI0000159,ORD000066,PROD00161,5,673.05
OI0000160,ORD000067,PROD00195,2,276.8
OI0000161,ORD000067,PROD00046,1,232.16
OI0000162,ORD000068,PROD00125,1,878.21
OI0000163,ORD000068,PROD00142,3,122.28
OI0000164,ORD000069,PROD00118,4,372.82
OI0000165,ORD000069,PROD00120,1,779.32
OI0000166,ORD000070,PROD00197,4,720.46
OI0000167,ORD000070,PROD00134,5,296.12
OI0000168,ORD000070,PROD00146,3,843.74
OI0000169,ORD000070,PROD00073,2,472.71
OI0000170,ORD000070,PROD00021,4,601.54
OI0000171,ORD000071,PROD00112,5,624.27
OI0000172,ORD000072,PROD00018,3,926.99
OI0000173,ORD000072,PROD00026,3,177.45
OI0000174,ORD000072,PROD00012,5,1108.03
OI0000175,ORD000073,PROD00054,2,409.72
OI0000176,ORD000073,PROD00023,4,87.21
OI0000177,ORD000073,PROD00038,1,782.34
OI0000178,ORD000074,PROD00089,2,777.04
OI0000179,ORD000075,PROD00123,2,449.69
OI0000180,ORD000076,PROD00097,5,407.1
OI0000181,ORD000077,PROD00042,1,98.87
OI0000182,ORD000077,PROD00141,2,44.94
OI0000183,ORD000078,PROD00068,2,408.36
OI0000184,ORD000079,PROD00075,1,171.72
OI0000185,ORD000079,PROD00088,1,1130.8
OI0000186,ORD000079,PROD00191,5,532.79
OI0000187,ORD000079,PROD00141,5,44.94
OI0000188,ORD000079,PROD00103,2,822.59
OI0000189,ORD000080,PROD00080,4,56.83
OI0000190,ORD000080,PROD00052,3,26.03
OI0000191,ORD000081,PROD00172,1,810.25
OI0000192,ORD000082,PROD00081,3,323.72
OI0000193,ORD000082,PROD00058,4,111.2
OI0000194,ORD000083,PROD00028,5,807.89
OI0000195,ORD000083,PROD00165,3,452.34
OI0000196,ORD000083,PROD00100,5,577.83
OI0000197,ORD000084,PROD00026,4,177.45
OI0000198,ORD000084,PROD00087,3,144.82
OI0000199,ORD000085,PROD00043,1,382.27
OI0000200,ORD000085,PROD00074,4,244.58
OI0000201,ORD000086,PROD00027,1,267.78
OI0000202,ORD000086,PROD00133,1,642.47
OI0000203,ORD000086,PROD00027,2,267.78
OI0000204,ORD000087,PROD00004,4,417.95
OI0000205,ORD000087,PROD00012,1,1108.03
OI0000206,ORD000087,PROD00056,4,265.08
OI0000207,ORD000088,PROD00071,5,124.97
OI0000208,ORD000088,PROD00143,2,291.6
OI0000209,ORD000089,PROD00122,3,868.42
OI0000210,ORD000089,PROD00073,2,472.71
OI0000211,ORD000090,PROD00067,2,593.36
OI0000212,ORD000091,PROD00101,1,684.8
OI0000213,ORD000092,PROD00119,3,936.38
OI0000214,ORD000093,PROD00029,1,257.12
OI0000215,ORD000094,PROD00098,1,36.55
OI0000216,ORD000094,PROD00032,2,945.42
OI0000217,ORD000094,PROD00105,1,444.1
OI0000218,ORD000095,PROD00024,5,525.45
OI0000219,ORD000096,PROD00027,5,267.78
OI0000220,ORD000096,PROD00081,4,323.72
OI0000221,ORD000096,PROD00174,3,602.87
OI0000222,ORD000097,PROD00142,2,122.28
OI0000223,ORD000097,PROD00012,1,1108.03
OI0000224,ORD000097,PROD00051,5,463.06
OI0000225,ORD000098,PROD00144,3,21.05
OI0000226,ORD000099,PROD00022,2,1218.83
OI0000227,ORD000100,PROD00114,1,120.31
OI0000228,ORD000101,PROD00129,1,183.59
OI0000229,ORD000101,PROD00071,4,124.97
OI0000230,ORD000102,PROD00129,2,183.59
OI0000231,ORD000102,PROD00051,3,463.06
OI0000232,ORD000103,PROD00081,2,323.72
OI0000233,ORD000103,PROD00170,5,312.82
OI0000234,ORD000103,PROD00014,3,606.8
OI0000235,ORD000104,PROD00116,5,147.99
OI0000236,ORD000105,PROD00135,5,309.43
OI0000237,ORD000105,PROD00064,2,31.18
OI0000238,ORD000106,PROD00158,2,763.61
OI0000239,ORD000106,PROD00104,1,175.68
OI0000240,ORD000107,PROD00058,4,111.2
OI0000241,ORD000108,PROD00180,1,742.5
OI0000242,ORD000108,PROD00102,1,160.46
OI0000243,ORD000109,PROD00155,3,413.28
OI0000244,ORD000110,PROD00043,4,382.27
OI0000245,ORD000111,PROD00006,4,51.17
OI0000246,ORD000112,PROD00119,5,936.38
OI0000247,ORD000113,PROD00150,5,540.84
OI0000248,ORD000113,PROD00065,4,253.5
OI0000249,ORD000114,PROD00104,1,175.68
OI0000250,ORD000115,PROD00117,1,224.25
OI0000251,ORD000115,PROD00114,2,120.31
OI0000252,ORD000115,PROD00081,3,323.72
OI0000253,ORD000115,PROD00052,1,26.03
OI0000254,ORD000115,PROD00027,1,267.78
OI0000255,ORD000116,PROD00195,1,276.8
OI0000256,ORD000116,PROD00072,2,52.14
OI0000257,ORD000117,PROD00076,3,10.66
OI0000258,ORD000117,PROD00152,3,318.78
OI0000259,ORD000117,PROD00060,5,26.85
OI0000260,ORD000117,PROD00145,3,75.68
OI0000261,ORD000118,PROD00146,4,843.74
OI0000262,ORD000118,PROD00007,2,399.83
OI0000263,ORD000119,PROD00194,5,833.29
OI0000264,ORD000119,PROD00150,4,540.84
OI0000265,ORD000120,PROD00055,1,16.19
OI0000266,ORD000120,PROD00158,4,763.61
OI0000267,ORD000121,PROD00056,3,265.08
OI0000268,ORD000122,PROD00040,4,716.63
OI0000269,ORD000122,PROD00039,2,309.98
OI0000270,ORD000122,PROD00144,5,21.05
OI0000271,ORD000123,PROD00170,5,312.82
OI0000272,ORD000123,PROD00123,4,449.69
OI0000273,ORD000124,PROD00067,2,593.36
OI0000274,ORD000124,PROD00052,4,26.03
OI0000275,ORD000125,PROD00009,3,411.63
OI0000276,ORD000125,PROD00165,2,452.34
OI0000277,ORD000125,PROD00119,1,936.38
OI0000278,ORD000125,PROD00032,3,945.42
OI0000279,ORD000126,PROD00151,2,95.47
OI0000280,ORD000127,PROD00068,4,408.36
OI0000281,ORD000127,PROD00152,5,318.78
OI0000282,ORD000127,PROD00027,3,267.78
OI0000283,ORD000127,PROD00002,2,680.84
OI0000284,ORD000128,PROD00170,1,312.82
OI0000285,ORD000128,PROD00102,5,160.46
OI0000286,ORD000129,PROD00033,1,568.38
OI0000287,ORD000129,PROD00160,4,601.22
OI0000288,ORD000129,PROD00002,1,680.84
OI0000289,ORD000129,PROD00029,1,257.12
OI0000290,ORD000129,PROD00084,4,575.76
OI0000291,ORD000130,PROD00050,3,110.29
OI0000292,ORD000131,PROD00161,2,673.05
OI0000293,ORD000131,PROD00060,5,26.85
OI0000294,ORD000131,PROD00168,5,301.92
OI0000295,ORD000131,PROD00171,5,561.13
OI0000296,ORD000131,PROD00196,5,448.85
OI0000297,ORD000132,PROD00051,2,463.06
OI0000298,ORD000132,PROD00068,5,408.36
OI0000299,ORD000132,PROD00174,4,602.87
OI0000300,ORD000132,PROD00063,4,478.95
OI0000301,ORD000133,PROD00082,1,213.35
OI0000302,ORD000133,PROD00033,5,568.38
OI0000303,ORD000133,PROD00036,2,322.92
OI0000304,ORD000133,PROD00135,4,309.43
OI0000305,ORD000134,PROD00099,2,497.31
OI0000306,ORD000134,PROD00040,3,716.63
OI0000307,ORD000134,PROD00177,5,607.52
OI0000308,ORD000135,PROD00082,5,213.35
OI0000309,ORD000136,PROD00119,1,936.38
OI0000310,ORD000136,PROD00038,5,782.34
OI0000311,ORD000137,PROD00188,2,689.67
OI0000312,ORD000137,PROD00036,5,322.92
OI0000313,ORD000137,PROD00163,4,343.04
OI0000314,ORD000138,PROD00155,5,413.28
OI0000315,ORD000138,PROD00160,2,601.22
OI0000316,ORD000138,PROD00081,5,323.72
OI0000317,ORD000138,PROD00066,5,318.62
OI0000318,ORD000139,PROD00192,5,396.18
OI0000319,ORD000140,PROD00030,2,178.19
OI0000320,ORD000140,PROD00110,5,436.43
OI0000321,ORD000141,PROD00144,1,21.05
OI0000322,ORD000141,PROD00082,5,213.35
OI0000323,ORD000141,PROD00178,4,519.35
OI0000324,ORD000142,PROD00124,5,425.98
OI0000325,ORD000142,PROD00092,2,673.82
OI0000326,ORD000142,PROD00187,4,313.26
OI0000327,ORD000143,PROD00030,4,178.19
OI0000328,ORD000143,PROD00006,2,51.17
OI0000329,ORD000143,PROD00077,1,455.24
OI0000330,ORD000143,PROD00082,5,213.35
OI0000331,ORD000143,PROD00126,2,558.75
OI0000332,ORD000144,PROD00147,3,504.99
OI0000333,ORD000144,PROD00149,3,140.89
OI0000334,ORD000144,PROD00165,3,452.34
OI0000335,ORD000145,PROD00022,4,1218.83
OI0000336,ORD000145,PROD00101,4,684.8
OI0000337,ORD000145,PROD00182,2,334.16
OI0000338,ORD000146,PROD00168,4,301.92
OI0000339,ORD000146,PROD00042,5,98.87
OI0000340,ORD000146,PROD00042,1,98.87
OI0000341,ORD000146,PROD00140,4,586.18
OI0000342,ORD000146,PROD00009,5,411.63
OI0000343,ORD000147,PROD00043,5,382.27
OI0000344,ORD000147,PROD00120,2,779.32
OI0000345,ORD000147,PROD00011,5,22.38
OI0000346,ORD000148,PROD00163,4,343.04
OI0000347,ORD000148,PROD00196,5,448.85
OI0000348,ORD000149,PROD00121,1,747.1
OI0000349,ORD000149,PROD00006,2,51.17
OI0000350,ORD000150,PROD00173,2,778.75
OI0000351,ORD000150,PROD00179,2,784.78
OI0000352,ORD000151,PROD00041,3,186.37
OI0000353,ORD000151,PROD00024,1,525.45
OI0000354,ORD000152,PROD00021,1,601.54
OI0000355,ORD000153,PROD00197,2,720.46
OI0000356,ORD000153,PROD00045,1,775.67
OI0000357,ORD000154,PROD00116,2,147.99
OI0000358,ORD000155,PROD00168,1,301.92
OI0000359,ORD000155,PROD00049,2,115.76
OI0000360,ORD000156,PROD00051,3,463.06
OI0000361,ORD000156,PROD00148,4,261.05
OI0000362,ORD000156,PROD00037,5,305.92
OI0000363,ORD000156,PROD00156,4,104.36
OI0000364,ORD000157,PROD00109,4,369.13
OI0000365,ORD000157,PROD00143,3,291.6
OI0000366,ORD000157,PROD99999,1,111.11
OI0000367,ORD000158,PROD00065,1,253.5
OI0000368,ORD000159,PROD00068,1,408.36
OI0000369,ORD000159,PROD00140,3,586.18
OI0000370,ORD000160,PROD00187,4,313.26
OI0000371,ORD000160,PROD00037,4,305.92
OI0000372,ORD000161,PROD00001,3,62.49
OI0000373,ORD000161,PROD00092,1,673.82
OI0000374,ORD000161,PROD00105,4,444.1
OI0000375,ORD000162,PROD00050,2,110.29
OI0000376,ORD000163,PROD00179,2,784.78
OI0000377,ORD000163,PROD00142,3,122.28
OI0000378,ORD000163,PROD00141,4,44.94
OI0000379,ORD000164,PROD00061,3,590.23
OI0000380,ORD000164,PROD00180,3,742.5
OI0000381,ORD000165,PROD00088,2,1130.8
OI0000382,ORD000165,PROD00012,1,1108.03
OI0000383,ORD000166,PROD00041,3,186.37
OI0000384,ORD000167,PROD00047,5,804.26
OI0000385,ORD000167,PROD00046,2,232.16
OI0000386,ORD000168,PROD00137,2,612.77
OI0000387,ORD000169,PROD00092,5,673.82
OI0000388,ORD000170,PROD00181,4,679.65
OI0000389,ORD000170,PROD00140,3,586.18
OI0000390,ORD000170,PROD00034,2,48.06
OI0000391,ORD000170,PROD00180,3,742.5
OI0000392,ORD000171,PROD00047,3,804.26
OI0000393,ORD000171,PROD00114,4,120.31
OI0000394,ORD000171,PROD00023,2,87.21
OI0000395,ORD000172,PROD00141,3,44.94
OI0000396,ORD000172,PROD00120,2,779.32
OI0000397,ORD000172,PROD00065,1,253.5
OI0000398,ORD000173,PROD00141,3,44.94
OI0000399,ORD000174,PROD00010,1,1109.86
OI0000400,ORD000174,PROD00169,2,769.54
OI0000401,ORD000174,PROD00199,4,86.25
OI0000402,ORD000174,PROD00153,1,835.05
OI0000403,ORD000174,PROD99999,3,261.87
OI0000404,ORD000175,PROD00019,5,253.38
OI0000405,ORD000175,PROD00133,2,642.47
OI0000406,ORD000176,PROD00127,1,310.77
OI0000407,ORD000177,PROD00188,5,689.67
OI0000408,ORD000177,PROD00123,5,449.69
OI0000409,ORD000177,PROD00027,3,267.78
OI0000410,ORD000178,PROD00057,4,687.72
OI0000411,ORD000178,PROD00133,2,642.47
OI0000412,ORD000178,PROD00188,5,689.67
OI0000413,ORD000179,PROD00132,5,399.42
OI0000414,ORD000179,PROD00067,5,593.36
OI0000415,ORD000179,PROD00179,5,784.78
OI0000416,ORD000179,PROD99999,2,12.0
OI0000417,ORD000180,PROD00150,3,540.84
OI0000418,ORD000180,PROD00081,3,323.72
OI0000419,ORD000181,PROD00029,1,257.12
OI0000420,ORD000181,PROD00149,2,140.89
OI0000421,ORD000181,PROD00035,3,332.61
OI0000422,ORD000181,PROD00060,4,26.85
OI0000423,ORD000182,PROD00028,1,807.89
OI0000424,ORD000182,PROD00188,3,689.67
OI0000425,ORD000182,PROD00132,5,399.42
OI0000426,ORD000183,PROD00164,5,773.39
OI0000427,ORD000183,PROD00119,5,936.38
OI0000428,ORD000184,PROD00081,2,323.72
OI0000429,ORD000184,PROD00128,5,103.13
OI0000430,ORD000184,PROD00123,2,449.69
OI0000431,ORD000184,PROD00174,2,602.87
OI0000432,ORD000184,PROD00114,1,120.31
OI0000433,ORD000185,PROD00120,1,779.32
OI0000434,ORD000185,PROD00176,2,746.46
OI0000435,ORD000185,PROD00007,1,399.83
OI0000436,ORD000186,PROD00100,2,577.83
OI0000437,ORD000186,PROD00184,3,202.51
OI0000438,ORD000187,PROD00049,5,115.76
OI0000439,ORD000188,PROD00142,1,122.28
OI0000440,ORD000188,PROD00058,2,111.2
OI0000441,ORD000189,PROD00101,2,684.8
OI0000442,ORD000189,PROD00081,3,323.72
OI0000443,ORD000189,PROD00073,2,472.71
OI0000444,ORD000189,PROD00177,2,607.52
OI0000445,ORD000190,PROD00124,3,425.98
OI0000446,ORD000190,PROD00157,1,195.18
OI0000447,ORD000190,PROD00182,3,334.16
OI0000448,ORD000190,PROD00116,1,147.99
OI0000449,ORD000190,PROD00039,4,309.98
OI0000450,ORD000191,PROD00050,3,110.29
OI0000451,ORD000192,PROD00093,4,337.65
OI0000452,ORD000193,PROD00041,5,186.37
OI0000453,ORD000193,PROD00170,2,312.82
OI0000454,ORD000193,PROD00188,1,689.67
OI0000455,ORD000194,PROD00113,1,135.11
OI0000456,ORD000194,PROD00044,5,675.68
OI0000457,ORD000194,PROD00168,1,301.92
OI0000458,ORD000195,PROD00108,3,81.59
OI0000459,ORD000195,PROD00002,3,680.84
OI0000460,ORD000196,PROD00088,1,1130.8
OI0000461,ORD000196,PROD00105,3,444.1
OI0000462,ORD000197,PROD00125,5,878.21
OI0000463,ORD000197,PROD00080,2,56.83
OI0000464,ORD000198,PROD00105,2,444.1
OI0000465,ORD000199,PROD00068,4,408.36
OI0000466,ORD000199,PROD00134,2,296.12
OI0000467,ORD000200,PROD00170,2,312.82
OI0000468,ORD000200,PROD00109,5,369.13
OI0000469,ORD000201,PROD00048,5,175.58
OI0000470,ORD000202,PROD00174,1,602.87
OI0000471,ORD000202,PROD00156,4,104.36
OI0000472,ORD000203,PROD00088,2,1130.8
OI0000473,ORD000204,PROD00054,5,409.72
OI0000474,ORD000205,PROD00122,1,868.42
OI0000475,ORD000206,PROD00142,2,122.28
OI0000476,ORD000206,PROD00060,1,26.85
OI0000477,ORD000207,PROD00097,5,407.1
OI0000478,ORD000207,PROD00001,2,62.49
OI0000479,ORD000207,PROD00022,4,1218.83
OI0000480,ORD000208,PROD00144,2,21.05
OI0000481,ORD000209,PROD00114,2,120.31
OI0000482,ORD000209,PROD00014,5,606.8
OI0000483,ORD000210,PROD00139,4,431.69
OI0000484,ORD000210,PROD00141,1,44.94
OI0000485,ORD000211,PROD00178,1,519.35
OI0000486,ORD000211,PROD00043,5,382.27
OI0000487,ORD000212,PROD00067,4,593.36
OI0000488,ORD000212,PROD00149,3,140.89
OI0000489,ORD000213,PROD00146,1,843.74
OI0000490,ORD000213,PROD00068,3,408.36
OI0000491,ORD000214,PROD00046,2,232.16
OI0000492,ORD000214,PROD00120,4,779.32
OI0000493,ORD000214,PROD00138,4,868.7
OI0000494,ORD000214,PROD99999,5,351.47
OI0000495,ORD000215,PROD00120,1,779.32
OI0000496,ORD000216,PROD00158,5,763.61
OI0000497,ORD000216,PROD00040,2,716.63
OI0000498,ORD000216,PROD00016,2,89.11
OI0000499,ORD000216,PROD00038,1,782.34
OI0000500,ORD000216,PROD00194,1,833.29
OI0000501,ORD000217,PROD99999,4,105.98
OI0000502,ORD000217,PROD00133,1,642.47
OI0000503,ORD000218,PROD00102,1,160.46
OI0000504,ORD000218,PROD00020,4,541.07
OI0000505,ORD000219,PROD00148,1,261.05
OI0000506,ORD000219,PROD00150,1,540.84
OI0000507,ORD000220,PROD00068,3,408.36
OI0000508,ORD000220,PROD00096,3,901.92
OI0000509,ORD000220,PROD00103,1,822.59
OI0000510,ORD000220,PROD00022,5,1218.83
OI0000511,ORD000221,PROD00134,1,296.12
OI0000512,ORD000221,PROD00178,4,519.35
OI0000513,ORD000221,PROD00027,1,267.78
OI0000514,ORD000222,PROD00186,4,321.93
OI0000515,ORD000222,PROD00015,2,163.87
OI0000516,ORD000223,PROD00096,5,901.92
OI0000517,ORD000223,PROD00180,3,742.5
OI0000518,ORD000224,PROD00084,1,575.76
OI0000519,ORD000224,PROD00147,1,504.99
OI0000520,ORD000225,PROD00028,3,807.89
OI0000521,ORD000225,PROD00046,1,232.16
OI0000522,ORD000225,PROD00171,4,561.13
OI0000523,ORD000226,PROD00161,5,673.05
OI0000524,ORD000227,PROD00173,4,778.75
OI0000525,ORD000228,PROD00155,4,413.28
OI0000526,ORD000228,PROD00168,3,301.92
OI0000527,ORD000229,PROD00109,4,369.13
OI0000528,ORD000229,PROD00066,2,318.62
OI0000529,ORD000230,PROD00174,3,602.87
OI0000530,ORD000230,PROD00043,1,382.27
OI0000531,ORD000231,PROD00200,4,852.45
OI0000532,ORD000231,PROD00175,1,29.99
OI0000533,ORD000232,PROD00062,5,365.58
OI0000534,ORD000232,PROD00114,4,120.31
OI0000535,ORD000232,PROD00198,5,210.84
OI0000536,ORD000232,PROD00137,4,612.77
OI0000537,ORD000233,PROD99999,3,269.8
OI0000538,ORD000233,PROD00023,4,87.21
OI0000539,ORD000233,PROD00169,3,769.54
OI0000540,ORD000234,PROD00101,1,684.8
OI0000541,ORD000234,PROD00151,5,95.47
OI0000542,ORD000235,PROD00087,2,144.82
OI0000543,ORD000236,PROD00092,3,673.82
OI0000544,ORD000237,PROD00148,2,261.05
OI0000545,ORD000237,PROD00096,3,901.92
OI0000546,ORD000238,PROD00152,1,318.78
OI0000547,ORD000239,PROD00180,1,742.5
OI0000548,ORD000240,PROD00174,5,602.87
OI0000549,ORD000240,PROD00172,3,810.25
OI0000550,ORD000240,PROD00043,3,382.27
OI0000551,ORD000240,PROD00106,2,972.8
OI0000552,ORD000240,PROD00169,2,769.54
OI0000553,ORD000241,PROD00137,1,612.77
OI0000554,ORD000241,PROD00038,4,782.34
OI0000555,ORD000241,PROD00089,4,777.04
OI0000556,ORD000242,PROD00086,3,40.06
OI0000557,ORD000242,PROD00042,5,98.87
OI0000558,ORD000242,PROD00124,5,425.98
OI0000559,ORD000243,PROD00037,3,305.92
OI0000560,ORD000243,PROD00175,5,29.99
OI0000561,ORD000243,PROD00079,3,52.11
OI0000562,ORD000243,PROD00064,1,31.18
OI0000563,ORD000244,PROD00065,2,253.5
OI0000564,ORD000244,PROD00111,2,552.86
OI0000565,ORD000245,PROD00070,2,145.46
OI0000566,ORD000245,PROD00047,4,804.26
OI0000567,ORD000246,PROD00167,5,337.16
OI0000568,ORD000246,PROD00135,4,309.43
OI0000569,ORD000247,PROD00132,4,399.42
OI0000570,ORD000247,PROD00018,1,926.99
OI0000571,ORD000248,PROD00035,5,332.61
OI0000572,ORD000249,PROD00107,1,80.89
OI0000573,ORD000249,PROD00155,4,413.28
OI0000574,ORD000249,PROD00017,5,650.13
OI0000575,ORD000249,PROD00097,5,407.1
OI0000576,ORD000249,PROD00029,3,257.12
OI0000577,ORD000250,PROD00076,2,10.66
OI0000578,ORD000250,PROD00172,1,810.25
OI0000579,ORD000250,PROD00018,4,926.99
OI0000580,ORD000251,PROD00181,2,679.65
